Accuracy	Precision	Recall
0.7204910514966065	0.2542309814818008	0.2220141553418836
0.7075052822508019	0.2874126156874761	0.2910888216195869
0.6858891456445614	0.23198353732623303	0.3209876311341257
0.6213401681248497	0.22187164472861035	0.4943926029532446
0.7481457086401239	0.2605487713115256	0.13045815801776534
0.7028013008781193	0.22596923978122047	0.2885396320690438
0.7275681347203118	0.21611535544394095	0.2421138211382114
0.7430747260494422	0.2263610888844621	0.16037167185477574
0.7393307892267785	0.2261399005016525	0.16788669246926607
0.7032987739682894	0.314444635985718	0.2731147540983606
0.6680278235414094	0.1991543044059752	0.328956561401626
0.6971466507710953	0.27808337812453104	0.3286675883208806
0.7395576099686103	0.2845193243811626	0.21190562210649647
0.786774179096834	0.22055630156194717	0.0742951358044631
0.7775029042323827	0.22678802116981708	0.1218868950516585
0.7519639532203156	0.2383623995561562	0.1646880231157172
0.7103287387940117	0.2388160401348211	0.2723583190483611
0.6328427812355868	0.22968247883527884	0.42639974358974364
0.6822663526289686	0.24273833646054235	0.35569873679192815
0.7524985363605718	0.2949223457991793	0.12835649058761206
0.7161046417279014	0.2116345669341873	0.2335653671004458
0.7126753189769925	0.26353709202181674	0.28295081967213115
0.7910864409643836	0.23304893383607297	0.07244224422442244
0.6957522078259414	0.1700932053736039	0.2773610321428761
0.6473730566004151	0.22404857344949117	0.41507786928518636
0.7283175281614362	0.20844276916831803	0.21770320975675211
0.6728661688228108	0.24455436740836997	0.3733482859398446
0.7173704149144208	0.26528430546994614	0.2456976811274934
0.7340376647836662	0.2093908134085579	0.2129167599611895
0.6746997312312764	0.22092638041924353	0.322362994130175
0.7553828168611754	0.21404681781793702	0.14893267651888342
0.7828797370139828	0.21362086139703837	0.08112803866877626
0.6945714748601851	0.250403643041618	0.34035315468416444
0.6928880551763972	0.3404774485733554	0.30668629211811405
0.7293866096773971	0.23327974973209553	0.2398201835850225
0.7271170859149966	0.2027225340375997	0.2180599746964925
0.7434066935444483	0.21304225127734275	0.18784939507717982
0.7100715284611547	0.22600404120558712	0.2533479349186483
0.7416199410189207	0.28243832067327673	0.194924506387921
0.7019906869774782	0.23216104704671042	0.30607230342674097
0.721186094572237	0.21154671743639675	0.199403628581769
0.7824054660238586	0.23326091111054334	0.07174250688275934
0.6738875214330303	0.24857252482136208	0.369810790026477
0.7368624146624806	0.21725100707663217	0.20179243316483403
0.6947250336483342	0.18803730560130444	0.31313628899835794
0.7513943815265309	0.21530877276142388	0.1518483842373317
0.7703474733338689	0.2621151158101006	0.1367611926161359
0.721217763750966	0.338372124196688	0.29694628461130956
0.7694865738997033	0.21752407489790704	0.13161254660539323
0.7705666814559506	0.2284452630789951	0.13351224286768718
0.7221857465710683	0.2508538210897857	0.29641316840895415
0.6794759369479266	0.23099243482030934	0.3630563845832932
0.7226414938044442	0.25328565541303283	0.20917974391065752
0.7948084537085216	0.1970576848194043	0.05220949263502456
0.752022815885278	0.2713642553166021	0.17291879061645515
0.7572536437588548	0.2619657916422157	0.1970671138067884
0.7478876054742524	0.26269819276814343	0.22231519676270844
0.6811045446515471	0.22148969161123927	0.30756843800322065
0.7240623801470847	0.22160952695850752	0.23969331717832923
0.7743149487461927	0.225759830737767	0.09242528441501668
0.7544384495904857	0.20840267349374497	0.14745509524623185
0.7260326680377571	0.23551925837587806	0.21974257456012963
0.7953697097359973	0.24665103653211623	0.05533372624134375
0.7813690550757629	0.20134950163797347	0.08178845060935823
0.7276062106962883	0.21222778132066172	0.21121261234713423
0.694836312186651	0.25997813381774304	0.29641854080878477
0.668827564341683	0.2352908220027047	0.3347540983606557
0.7803631179706281	0.2563176941574334	0.1398842036268298
0.7692331719722653	0.22646189359219693	0.138273433166944
0.7906445564858234	0.3787333535900894	0.11119859113900585
0.7587672834662857	0.2603765842930223	0.14778687005111096
0.7056462803558514	0.23326410113320106	0.2798698667620872
0.7086992363872293	0.28224593850583657	0.29549323375969916
